,Timestamp,Source IP,Destination IP,Protocol,Payload
126,22:54:40,13.107.246.48,192.168.0.101,TCP,170303012a643b26af5a3f5f35983edbf617e16a4c89cc2196a8d765157ce9211052795846b2ca7aaa1b0040c9a586b51db1d7a92c3d1a2acb4295bb3bba4f34a88f6be4230fdb7d0755afc4653bd9560f5ba99caf7785a94539905250ea6a1fd7ebff1e
127,22:54:40,13.107.246.48,192.168.0.101,TCP,1703030042cdb484179bc644eccb0ab666bc9caf9e3f19857f4aa7830cc51b3009a20987633429bb47359a2c2e39bdb981297e07347d59c283ad578c9d2775ba1e969d76a21271
128,22:54:40,192.168.0.101,13.107.246.48,TCP,<no payload>
129,22:54:40,192.168.0.101,13.107.246.48,TCP,170303001a1ee18b6a99ea97eb9af8a898b771482a5974da665a976b608bd4
130,22:54:40,13.107.246.48,192.168.0.101,TCP,<no payload>
131,22:54:40,13.107.246.48,192.168.0.101,TCP,<no payload>
132,22:54:40,13.107.246.48,192.168.0.101,TCP,170303001eb7b6d53ed09d3dc22278214551814ad07b642ccd3ae010d91f19f245fbc3
133,22:54:40,192.168.0.101,13.107.246.48,TCP,<no payload>
134,22:54:41,192.168.0.101,192.168.0.1,UDP,<no payload>
135,22:54:41,192.168.0.1,192.168.0.101,UDP,<no payload>
136,22:54:41,192.168.0.101,20.24.125.47,TCP,<no payload>
137,22:54:41,20.24.125.47,192.168.0.101,TCP,<no payload>
138,22:54:41,192.168.0.101,20.24.125.47,TCP,<no payload>
139,22:54:41,192.168.0.101,20.24.125.47,TCP,16030101d6010001d20303da2631a5901359d80600ad5bc90962cbea3e14cb34f6cf796691d8902262312620c5327d40afe0fa22bdc5e72cd9ce2948162aa392a779cf430e1865a5124218aa002813021301c02cc02bc030c02fc024c023c028c027c00a
140,22:54:41,20.24.125.47,192.168.0.101,TCP,726573742e6d6f6470696d2e636f6d821661726370726f78792e6d6963726f736f66742e636f6d82106172632d776573742e6d736e2e636f6d82106172632d656173742e6d736e2e636f6d82106172632d656d65612e6d736e2e636f6d82106172632d61
141,22:54:41,20.24.125.47,192.168.0.101,TCP,4f1715f3d2085e612bb52b23f045aeeeb74401562760c15bb2dab090854d128cf838833cda19fe379a79ef390718fa20cc5e9338f45438af3263208f7aa9c7be85691396f49192f8413f1b7728524506d4b1489268eb85e72dde67d55cf766da0e4858ec
142,22:54:41,20.24.125.47,192.168.0.101,TCP,3760b192c1a9997d48e45f87090b01ff892cd1b82e32f1848afdb22a99d34e2c7727a771d2b4b8a7fb4def27e67921448a4900987881e568d41da393d724cac5e8d79bcf458ba7c6276154c2caacc4cdc0991e9a69e46d9c30077f608506316d74eed454
143,22:54:41,192.168.0.101,20.24.125.47,TCP,<no payload>
144,22:54:41,20.24.125.47,192.168.0.101,TCP,16030318500200005e030368222edb72f0287d3ef3f80eb53576d7aadffd741642a111bded6eaa0b169d97207227000087a3ea4064f0b8dbfaa8e9dd7cf8495f5e1e9c2be8019a5963f4cf32c0300000160005000000100005000302683200170000ff01
145,22:54:41,20.24.125.47,192.168.0.101,TCP,83cd3c4a210c243ec7ddd514bd986455ecb7b63e958ccb40ec9cafc9837bb818027becab71333ca6e592f30c42a9a473f9eecec00c00016903001861043c44886c64c1d37628c0918a863894b61ca13159f4ef53fda6fc34996c26c135cef7768fd3e47e
146,22:54:41,192.168.0.101,20.24.125.47,TCP,<no payload>
147,22:54:41,192.168.0.101,20.24.125.47,TCP,<no payload>
148,22:54:41,20.24.125.47,192.168.0.101,TCP,16030318500200005e030368222edb72f0287d3ef3f80eb53576d7aadffd741642a111bded6eaa0b169d97207227000087a3ea4064f0b8dbfaa8e9dd7cf8495f5e1e9c2be8019a5963f4cf32c0300000160005000000100005000302683200170000ff01
149,22:54:41,192.168.0.101,20.24.125.47,TCP,<no payload>
150,22:54:41,13.107.246.48,192.168.0.101,TCP,170303010679ba0bb9e98cf41629c3ce7ed292bfae88cb1c0b355cc99e926ee835e6ad413ca4c0e530263feda43669b52e28f22e8ec135991d4e8f82a0dc8eb8b918683ef723c043c644a0a92c043b8ad8cec8f4aef4e82863d8e7cdc5453c8bc96067cc
151,22:54:41,192.168.0.101,13.107.246.48,TCP,<no payload>
152,22:54:41,192.168.0.101,13.107.246.48,TCP,17030300670fbf383e6f53b201315117830fc4d635567fbaeb148c8035e4cb3041224845077c80833c3abc8bcbbefd950b941feea536d9dbbc3155560b3d87dbb0bdb8baa6837f360881e7162c887498fc85a36f07064ca04ffc44457cb42a21324f0a02
153,22:54:41,13.107.246.48,192.168.0.101,TCP,<no payload>
154,22:54:42,13.107.246.48,192.168.0.101,TCP,1703030ab0a2d025848e2dee8aa119f23342f25d06b700fc2a8c6dec7fce5f4ca3f9c9fad18fa3e7b4562fcb3548f65401de1a9ec9eac5f0a5bacbe8212ae4cf36f2d5a1f64c274703ec905cc19181232195892c290d9d642ec281bea917808a57c286e9
155,22:54:42,13.107.246.48,192.168.0.101,TCP,9e619a636d199dce0264615bf1f0c38572f432b30d88325c405897f8c10d857f5f21c5f9a0b4fd960c661b987dbac010a9ccac83dcc3da2a93de228fe4a0c1a1dbe323ef6810532efa6a691b159118ae60d226bf7379c289bf15f72b7c915ecbe39789a0
156,22:54:42,13.107.246.48,192.168.0.101,TCP,170303001a53a2d2dc3f1acf00af504250b1ebc7c76f8e9158e16043adab52
157,22:54:42,192.168.0.101,13.107.246.48,TCP,<no payload>
